,Dice,Jaccard,Intersection,Union
CHGJ069,0.6221079752232009,0.45149255010511774,1936.0,4288.0
CHGJ070,0.7230494506819862,0.5662313837470724,607.0,1072.0
CHGJ071,0.7799772493745478,0.6393136956487562,3428.0,5362.0
CHGJ072,0.7161844128742599,0.5578561462541126,5173.0,9273.0
CHGJ073,0.915927334888658,0.8448947802822325,5420.0,6415.0
CHGJ074,0.7245912180764005,0.5681246930094739,3390.0,5967.0
CHGJ076,0.8768555701908732,0.7807148831136346,4696.0,6015.0
CHGJ077,0.8080808219277906,0.6779661406820653,560.0,826.0
CHGJ078,0.6659383948888269,0.4991811497156518,1524.0,3053.0
CHGJ080,0.8323353332027791,0.7128205241490917,1807.0,2535.0
CHGJ081,0.766860471893591,0.6218764911892272,1319.0,2121.0
CHGJ082,2.4594195164923877e-08,2.4594195164923877e-08,0.0,4066.0
CHGJ083,0.7717223709068799,0.6282963738678788,1501.0,2389.0
CHGJ085,0.8497380380737825,0.7387343648884446,6082.0,8233.0
CHGJ086,0.5865617558546684,0.41498931841587494,969.0,2335.0
CHGJ087,0.7943710570255297,0.6588851996719771,1383.0,2099.0
CHGJ088,0.6145313437875515,0.4435548587255175,1662.0,3747.0
CHGJ089,3.140703418947757e-08,3.140703418947757e-08,0.0,3184.0
CHGJ090,1.4084505058520414e-07,1.4084505058520414e-07,0.0,710.0
CHGJ091,0.926035579316645,0.8622590859034467,17985.0,20858.0
CHGJ092,0.8959981124306681,0.8115911075365461,3795.0,4676.0
CHMR001,0.8240606368000271,0.7007679689965994,5110.0,7292.0
CHMR004,0.766677412718701,0.6216357559018616,2379.0,3827.0
CHMR005,0.5602523241789148,0.389132301223296,8171.0,20998.0
CHMR011,3.6363635041322363e-08,3.6363635041322363e-08,0.0,2750.0
CHMR012,1.3477087132468043e-07,1.3477087132468043e-07,0.0,742.0
CHMR013,0.32251311265224736,0.19225970901957096,462.0,2403.0
CHMR014,1.952362320336542e-08,1.952362320336542e-08,0.0,5122.0
CHMR016,0.8488294917053916,0.737362090203322,23659.0,32086.0
CHMR020,3.259452305754488e-08,3.259452305754488e-08,0.0,3068.0
CHMR021,0.8053691313586828,0.6741573141388858,2040.0,3026.0
CHMR023,1.4727538331732206e-07,1.4727538331732206e-07,0.0,679.0
CHMR024,0.7420284122178563,0.5898610298505839,3735.0,6332.0
CHMR025,0.8598067476984418,0.7540886137963266,7608.0,10089.0
CHMR028,0.4645904474929576,0.3025840575846619,3267.0,10797.0
CHMR029,0.674195767481322,0.5085183526836162,985.0,1937.0
CHMR030,4.0849671533918645e-08,4.0849671533918645e-08,0.0,2448.0
CHMR034,0.5730071202443914,0.4015487056665539,726.0,1808.0
CHMR040,0.8269316080286383,0.7049304339847182,4661.0,6612.0
CHUM001,0.8085750363537192,0.6786621643242098,1603.0,2362.0
CHUM002,0.8723646741828394,0.7736230476598522,3062.0,3958.0
CHUM006,0.4896803120323629,0.32422297297840447,605.0,1866.0
CHUM007,0.7508196925557629,0.6010499211220576,458.0,762.0
CHUM008,0.9101606718678282,0.8351328972120889,2011.0,2408.0
CHUM011,0.7828907976497763,0.6432379263246295,7843.0,12193.0
CHUM012,0.9292929307505065,0.8679245333875806,2254.0,2597.0
CHUM013,7.930213486898218e-08,7.930213486898218e-08,0.0,1261.0
CHUM014,0.052611835677871636,0.027016633461341817,70.0,2591.0
CHUM015,0.07799446565879563,0.040579749872474126,98.0,2415.0
CHUM016,0.8753993676571157,0.7784091118930765,822.0,1056.0
CHUM017,0.9050530613180613,0.8265725311094668,6439.0,7790.0
CHUM018,0.04254315664043591,0.021733904329053266,90.0,4141.0
CHUM019,0.8730992570334737,0.7747792063405688,1579.0,2038.0
CHUM021,0.8532826275692291,0.7441089239987969,4263.0,5729.0
CHUM022,0.6070184943204261,0.4357692524704133,1133.0,2600.0
CHUM023,0.8248095851572587,0.7018518794581593,758.0,1080.0
CHUM024,0.909635372386201,0.834248793723787,2582.0,3095.0
CHUM026,0.6371681683504301,0.4675325251588176,432.0,924.0
CHUM027,0.8697810228483137,0.7695685899048231,5958.0,7742.0
CHUM029,0.2429820698807623,0.13829232220292503,528.0,3818.0
CHUM030,0.8796592126814557,0.7851711050640674,7021.0,8942.0
CHUM032,0.7934468380613895,0.6576144895702078,3705.0,5634.0
CHUM033,0.8498970782223377,0.738974803279284,5161.0,6984.0
CHUM034,0.899540961338798,0.8174233945544137,5095.0,6233.0
CHUM035,0.7992818707489789,0.6656698664572409,2226.0,3344.0
CHUM036,0.006344210692140733,0.0031822194438257973,8.0,2514.0
CHUM037,0.7893211964130548,0.6519658238644163,1907.0,2925.0
CHUM038,1.8532245764784177e-08,1.8532245764784177e-08,0.0,5396.0
CHUM039,0.8623229500758371,0.7579681395434194,1522.0,2008.0
CHUM040,0.12139618795202005,0.06462050652334306,40.0,619.0
CHUM041,0.30884089159760736,0.18262085582616838,393.0,2152.0
CHUM042,0.9112878569702072,0.8370328789819366,2979.0,3559.0
CHUM043,0.1690722077797831,0.09234239344918956,164.0,1776.0
CHUM044,0.8499106633426048,0.7389953459607627,2854.0,3862.0
CHUM045,0.8088754508887821,0.6790855479182432,802.0,1181.0
CHUM046,0.024390295631479555,0.012345732026530755,23.0,1863.0
CHUM047,0.3242043181271533,0.1934629331509305,438.0,2264.0
CHUM048,0.5486725853909572,0.3780488166057598,651.0,1722.0
CHUM049,0.8726807462354208,0.7741203306401628,1364.0,1762.0
CHUM050,0.8522127516806182,0.7424832068453058,2099.0,2827.0
CHUM051,0.8693821979771921,0.7689443765014372,3511.0,4566.0
CHUM053,0.8350920265632881,0.7168738210053966,3403.0,4747.0
CHUM054,0.23960883913893205,0.1361111591049356,245.0,1800.0
CHUM055,0.9140288307548342,0.8416695187022271,12301.0,14615.0
CHUM056,0.32731466280005134,0.1956821683196064,426.0,2177.0
CHUM057,0.7714533437892707,0.6279398105390492,1335.0,2126.0
CHUM058,4.098358976082387e-07,4.098358976082387e-07,0.0,244.0
CHUM059,0.6182405473575022,0.4474299710946295,383.0,856.0
CHUM060,0.8939245258816618,0.8081948732344754,5010.0,6199.0
CHUM061,0.655453075001273,0.48748993190113266,1208.0,2478.0
CHUM062,0.8589802502070089,0.7528180420607075,2805.0,3726.0
CHUM063,0.7543335362472574,0.605566228273363,2524.0,4168.0
CHUM064,0.9020405574849625,0.8215609098939219,7095.0,8636.0
CHUM065,0.6733179924963419,0.5075202658110194,1316.0,2593.0
CHUS003,0.4108974547789277,0.25857203474901025,641.0,2479.0
CHUS004,0.744329527411912,0.5927745782435093,2051.0,3460.0
CHUS005,0.5042166220942467,0.33709202747228323,568.0,1685.0
CHUS006,0.7744998342743331,0.631986728500644,2284.0,3614.0
CHUS007,0.8289090098372103,0.707809231975649,2701.0,3816.0
CHUS008,0.6644035080308677,0.4974582790516863,685.0,1377.0
CHUS009,0.5932313086175618,0.4216978418112828,1376.0,3263.0
CHUS010,0.6792207896356887,0.5142576443334491,1046.0,2034.0
CHUS013,0.6228187975716809,0.4522417272635537,2088.0,4617.0
CHUS015,0.8176656266457017,0.6915688696297898,648.0,937.0
CHUS016,0.8737252016739254,0.7757655654999814,2356.0,3037.0
CHUS019,0.8791423015037655,0.7843478302541482,4059.0,5175.0
CHUS020,0.7154127435941362,0.5569203248376176,1859.0,3338.0
CHUS022,0.6510067136615467,0.48258706962698944,5044.0,10452.0
CHUS026,0.4154193271392387,0.26216358017174995,1013.0,3864.0
CHUS027,0.9169307291447165,0.846603956398756,11430.0,13501.0
CHUS028,4.214074832950913e-08,4.214074832950913e-08,0.0,2373.0
CHUS030,4.31034464179549e-08,4.31034464179549e-08,0.0,2320.0
CHUS031,0.9139814320865451,0.8415891415240346,3347.0,3977.0
CHUS033,9.56022853152691e-08,9.56022853152691e-08,0.0,1046.0
CHUS035,0.78527100598796,0.6464577897508318,949.0,1468.0
CHUS036,0.1680871409070279,0.09175499892078058,355.0,3869.0
CHUS038,0.8241818189809917,0.7009432526600955,9066.0,12934.0
CHUS039,0.723729155959218,0.5670654957276922,5403.0,9528.0
CHUS040,0.7592039920794034,0.6118685154876892,763.0,1247.0
CHUS041,0.6301238543338087,0.4599860072330144,3943.0,8572.0
CHUS042,0.8521428597831632,0.7423771082023302,2386.0,3214.0
CHUS043,0.9032363388024472,0.8235469239893807,11066.0,13437.0
CHUS045,0.8052506528771003,0.6739912924040293,3558.0,5279.0
CHUS046,0.7094113344802648,0.5496804445275744,946.0,1721.0
CHUS047,0.6782608949991388,0.5131579529715367,429.0,836.0
CHUS048,0.7963237534443003,0.6615763713509176,1343.0,2030.0
CHUS049,0.6527075937650687,0.4844587628907415,904.0,1866.0
CHUS050,1.1627905624662138e-07,1.1627905624662138e-07,0.0,860.0
CHUS051,0.41134455018183713,0.2589262295972962,979.0,3781.0
CHUS052,0.9358898073038241,0.8795045982954826,21233.0,24142.0
CHUS053,0.7166635549529913,0.558437786113734,1916.0,3431.0
CHUS055,0.8284690910820569,0.707167934467581,6245.0,8831.0
CHUS056,0.9182271321627807,0.8488169374295333,13632.0,16060.0
CHUS057,0.7324738222210385,0.5778766956213163,909.0,1573.0
CHUS058,0.5394286240653001,0.36932717224926886,236.0,639.0
CHUS060,0.8235138191827568,0.6999774707077798,6213.0,8876.0
CHUS061,3.937007719015444e-08,3.937007719015444e-08,0.0,2540.0
CHUS064,0.5154929918666907,0.34724863878096407,366.0,1054.0
CHUS065,0.6203450959549569,0.44963787463870775,6022.0,13393.0
CHUS066,0.685979151622852,0.5220458764530036,1184.0,2268.0
CHUS067,0.7863118033222963,0.6478697183120654,517.0,798.0
CHUS068,0.844258132059729,0.7304902235548423,3323.0,4549.0
CHUS069,1.1467888593132043e-07,1.1467888593132043e-07,0.0,872.0
CHUS073,0.8741610843824593,0.7764530884570658,521.0,671.0
CHUS074,0.7414012821209783,0.5890688467070422,1164.0,1976.0
CHUS076,0.7387929710313168,0.5857824771217665,2332.0,3981.0
CHUS077,0.8382387031388255,0.7215240402800316,7234.0,10026.0
CHUS078,0.16715554733789628,0.09120014540797675,57.0,625.0
CHUS080,0.894071147291787,0.808434599563356,4524.0,5596.0
CHUS081,0.9215124778124453,0.8544489015449345,7884.0,9227.0
CHUS083,0.6222020984460984,0.4515917039009137,4809.0,10649.0
CHUS085,0.7937779921334435,0.6580695717831351,1684.0,2559.0
CHUS086,0.7750058850611562,0.6326609065066195,6586.0,10410.0
CHUS087,0.8615936641543919,0.7568419443540824,19690.0,26016.0
CHUS088,0.8994219672558388,0.817226897155921,2334.0,2856.0
CHUS089,0.6223092346077069,0.45170462333741146,318.0,704.0
CHUS090,0.8398169382203393,0.7238658913281119,1468.0,2028.0
CHUS091,0.8398491796021199,0.7239137966502294,2116.0,2923.0
CHUS094,0.8931580739272317,0.8069427586192827,2650.0,3284.0
CHUS095,4.975121902924426e-07,4.975121902924426e-07,0.0,201.0
CHUS096,0.46174321611821584,0.3001730709192845,347.0,1156.0
CHUS097,0.8149100270286345,0.6876355786016441,5706.0,8298.0
CHUS098,0.90450244036414,0.8256544593898189,1577.0,1910.0
CHUS100,0.802837486889682,0.670616962418908,11261.0,16792.0
CHUS101,0.7478913765887018,0.5973055089377346,7670.0,12841.0
